"Row","REQ_OPEN_DATE_ID_SK","ANALYST_INIT_CONTACT_ID_SK","REQ_TYPE_DESC","REQ_CONFIG_ITEM_NAME","INIT_USER_GROUP","REQ_PRIORITY_SYM_DESC","REQ_IMPACT_SYM_DESC","REQ_CATEGORY_NAME","LOCATION_NAME","END_USER_CONTACT_ID_SK","ELAPSED_DAYS"
"1","20221226","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","2-Medium","2-Medium","Appls.Outdated Data","Brazil.Pindamonhangaba","178499","20"
"2","20230921","178499","Request","BI.Industrial.Production","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Request for information","Brazil.Pindamonhangaba","178499","8"
"3","20230404","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Outdated Data","Brazil.Pindamonhangaba","178499","8"
"4","20230816","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Others","Brazil.Pindamonhangaba","178499","43"
"5","20230814","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Outdated Data","Brazil.Pindamonhangaba","178499","0"
"6","20230424","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Outdated Data","Brazil.Pindamonhangaba","178499","0"
"7","20221125","178499","Request","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","2-Medium","2-Medium","Applications.Request for information","Brazil.Pindamonhangaba","178499","6"
"8","20230720","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Outdated Data","Brazil.Pindamonhangaba","178499","8"
"9","20220701","28388","Request","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","1-High","1-High","Applications.New Requirement","Brazil.Pindamonhangaba","28388","20"
"10","20230427","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Outdated Data","Brazil.Pindamonhangaba","178499","1"
"11","20210331","40395","Request","BI.Industrial.Production","CONFAB.APPL INDUSTRIAL","0-Critical","1-High","Applications.Process Request","Brazil.Pindamonhangaba","155474","23"
"12","20231003","178499","Request","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","3-Low","3-Low","Applications.Normal Error Handling","Brazil.Pindamonhangaba","178499","7"
"13","20221215","178499","Incident","BI.Industrial.Industrial_Performance","CONFAB.APPL INDUSTRIAL","2-Medium","2-Medium","Appls.Outdated Data","Brazil.Pindamonhangaba","178499","42"
"14","20220609","56854","Request","BI.Industrial.Industrial_Performance","RA IND EVOLUTIVE CA","2-Medium","2-Medium","Applications.Request for information","Canada.Sault St. Marie","93760","4"
"15","20211019","140435","Request","BI.BI & Analytics Tools.Business Control Panel (BCP)","SCOS SAPS SUPPORT URUGUAY","2-Medium","2-Medium","Software.Business Integration.Other","Uruguay.Montevideo","174348","0"
"16","20220630","140435","Request","BI.Information Technology (IT).USD Metrics","SCOS SAPS SUPPORT URUGUAY","2-Medium","2-Medium","Applications.Data Quality.integration","UY.Montevideo.WTC.Office","11302","0"
"17","20230614","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data incident","Uruguay.Montevideo","188634","42"
"18","20230614","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data incident","Uruguay.Montevideo","188634","8"
"19","20230508","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Uruguay.Montevideo","188634","36"
"20","20230508","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Uruguay.Montevideo","188634","58"
"21","20230504","106026","Request","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Applications.Others","Argentina.Campana","10032","0"
"22","20230510","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Outdated Data","Uruguay.Montevideo","156195","6"
"23","20230614","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Outdated Data","Mexico.Veracruz","106189","8"
"24","20210611","106026","Request","BI.Information Technology (IT).USD Metrics","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Others","Argentina.Sede","46318","0"
"25","20210721","106026","Request","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Others","Uruguay.Montevideo","148624","12"
"26","20210721","106026","Request","BI.Industrial.Industrial_Maintenance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Business Rule Modification","Argentina.Campana","11261","68"
"27","20210729","106026","Request","BI.Industrial.Industrial_Maintenance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Business Rule Modification","Argentina.Campana","11261","104"
"28","20210729","106026","Request","BI.Industrial.Industrial_Maintenance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Business Rule Modification","Argentina.Campana","11261","104"
"29","20210729","106026","Request","BI.Industrial.Industrial_Maintenance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Business Rule Modification","Argentina.Campana","11261","104"
"30","20210729","106026","Request","BI.Industrial.Industrial_Maintenance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Business Rule Modification","Argentina.Campana","11261","104"
"31","20210729","106026","Incident","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Behaviour.Failure","Brazil.Pindamonhangaba","157852","11"
"32","20210520","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Brazil.Pindamonhangaba","35672","8"
"33","20210602","106026","Incident","BI.Information Technology (IT).USD Metrics","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Outdated Data","Canada.Toronto","104853","1"
"34","20210608","106026","Incident","BI.Human Resources.Human Resources KPIs","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Others","Argentina.Sede","153034","8"
"35","20210201","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Erroneous behaviour","Romania.Zalau","127473","79"
"36","20210215","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","United States.Hickman","47345","4"
"37","20210223","106026","Request","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Access & Privileges","Colombia.Cartagena","137237","31"
"38","20210222","106026","Request","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Request for Information","Italy.DALMINE","72380","17"
"39","20210217","106026","Request","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Request for Information","Italy.DALMINE Sede","56942","1"
"40","20210119","106026","Request","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Request for Information","Mexico.Veracruz","141276","51"
"41","20210215","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Mexico.Veracruz","61119","3"
"42","20210215","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Mexico.Veracruz","61119","3"
"43","20220325","106026","Request","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Request for Information","Brazil.Pindamonhangaba","178499","98"
"44","20220329","106026","Incident","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Erroneous behaviour","Uruguay.Montevideo","107332","30"
"45","20220324","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Canada.Sault St. Marie","93760","98"
"46","20220324","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Canada.Sault St. Marie","93760","98"
"47","20220318","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Uruguay.Montevideo","27145","122"
"48","20210201","106026","Incident","BI.Commercial.Sales - Invoicing and Costs","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Argentina.Sede","150465","65"
"49","20210219","106026","Request","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Process Request","Mexico.Veracruz","100807","0"
"50","20210219","106026","Request","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Process Request","Mexico.Veracruz","100807","0"
"51","20210122","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Argentina.Sede","157879","91"
"52","20210219","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Appls.Data incident","Uruguay.Montevideo","148776","32"
"53","20210201","106026","Incident","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Erroneous behaviour","Saudi Arabia.DAMMAM","46264","1"
"54","20220615","106026","Incident","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Mexico.Veracruz","169201","8"
"55","20220620","106026","Incident","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Erroneous behaviour","Uruguay.Montevideo","107332","1"
"56","20211116","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Uruguay.Montevideo","67278","64"
"57","20211122","106026","Request","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Access & Privileges","Uruguay.Montevideo","152247","2"
"58","20211117","106026","Request","BI.Human Resources.Human Resources KPIs","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Create/Delete/Modify Data","Argentina.Sede","157879","13"
"59","20211117","106026","Request","BI.Human Resources.Human Resources KPIs","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Create/Delete/Modify Data","Argentina.Sede","157879","13"
"60","20211122","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Canada.Sault St. Marie","93760","2"
"61","20211116","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Erroneous behaviour","Argentina.Campana","11261","8"
"62","20210827","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Outdated Data","Mexico.Veracruz","174000","0"
"63","20211019","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Italy.DALMINE","11915","9"
"64","20221014","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Romania.Zalau","138167","46"
"65","20221014","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","China.Baotou","176442","33"
"66","20220928","106026","Incident","BI.Industrial.Engineering","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Argentina.Campana","79312","104"
"67","20221020","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Performance","Mexico.Veracruz","148054","22"
"68","20220928","106026","Request","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Appls.Access & Privileges","Uruguay.Montevideo","88003","6"
"69","20220928","106026","Request","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Appls.Access & Privileges","Uruguay.Montevideo","88003","6"
"70","20230912","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data.Failure","Uruguay.Montevideo","188634","17"
"71","20230720","106026","Incident","BI.Information Technology (IT).USD Metrics","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Uruguay.Montevideo","186941","6"
"72","20230711","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data incident","Canada.Sault St. Marie","93760","30"
"73","20230605","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Colombia.Cartagena","179310","24"
"74","20230524","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Italy.DALMINE","24611","33"
"75","20230928","106026","Request","BI.Human Resources.Human Resources KPIs","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Business Rule Modification","Brazil.Pindamonhangaba","57897","19"
"76","20211001","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Behaviour.Failure","Colombia.Cartagena","37451","6"
"77","20211112","106026","Request","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Access & Privileges","Mexico.Veracruz","143285","5"
"78","20230504","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Others","Italy.DALMINE Sede","31523","83"
"79","20230604","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Outdated Data","Saudi Arabia.DAMMAM","182019","22"
"80","20230614","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data incident","Uruguay.Montevideo","188634","51"
"81","20221013","106026","Request","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Appls.Process Request","Saudi Arabia.DAMMAM","182019","11"
"82","20221013","106026","Request","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Appls.Process Request","Saudi Arabia.DAMMAM","182019","11"
"83","20220926","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Failure","Colombia.Bogotá","49930","10"
"84","20221017","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Uruguay.Montevideo","103591","18"
"85","20220520","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Data incident","Argentina.Campana","171263","41"
"86","20220729","106026","Request","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","3-Low","3-Low","Appls.Request for Information","Italy.DALMINE Sede","38388","4"
"87","20220722","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Uruguay.Montevideo","103591","5"
"88","20230307","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Outdated Data","Mexico.Veracruz","106189","24"
"89","20230302","106026","Request","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Access & Privileges","Mexico.Cd. de México","145005","4"
"90","20230413","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Uruguay.Montevideo","181536","37"
"91","20221027","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Erroneous behaviour","Uruguay.Montevideo","27145","53"
"92","20221026","106026","Incident","BI.Supply Chain.Inventories","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Data incident","Argentina.Sede","109229","28"
"93","20221010","106026","Request","BI.Human Resources.Human Resources KPIs","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Appls.Process Request","Brazil.Pindamonhangaba","57897","21"
"94","20230926","106026","Incident","BI.Data services.Global Planning Layer (GPL) and follow up (FUT)","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Uruguay.Montevideo","156195","22"
"95","20230723","106026","Incident","BI.Industrial.Production","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data incident","Saudi Arabia.DAMMAM","124305","50"
"96","20230307","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Applications.Data incident","Argentina.Campana","177042","93"
"97","20230307","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Argentina.Campana","177042","35"
"98","20230307","106026","Incident","BI.Industrial.Industrial_Performance","SERVICES SYSTEM ACCOUNTS","1-High","2-Medium","Applications.Data incident","Argentina.Campana","177042","52"
"99","20230127","106026","Incident","BI.BI & Analytics Tools.Business Control Panel (BCP)","SERVICES SYSTEM ACCOUNTS","2-Medium","2-Medium","Appls.Erroneous behaviour","Uruguay.Montevideo","27145","41"
