ANALYST_INIT_CONTACT_ID_SK,REQ_TYPE_DESC,INIT_USER_GROUP,REQ_PRIORITY_SYM_DESC,REQ_IMPACT_SYM_DESC,REQ_CATEGORY_NAME,LOCATION_NAME,END_USER_CONTACT_ID_SK,ELAPSED_DAYS,DATA_MODEL,COUNTRY,OPEN_DATE,WEEK_DAY,DAYS_RANGE
178499,Incident,CONFAB.APPL INDUSTRIAL,2-Medium,2-Medium,Appls.Outdated Data,Brazil.Pindamonhangaba,178499,20,Industrial Performance,Brasil,1,Lunes,16<
178499,Request,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Request for information,Brazil.Pindamonhangaba,178499,8,Industrial Production,Brasil,2,Jueves,6-15
178499,Incident,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Outdated Data,Brazil.Pindamonhangaba,178499,8,Industrial Performance,Brasil,3,Martes,6-15
178499,Incident,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Others,Brazil.Pindamonhangaba,178499,43,Industrial Performance,Brasil,4,Miércoles,16<
178499,Incident,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Outdated Data,Brazil.Pindamonhangaba,178499,0,Industrial Performance,Brasil,5,Lunes,<5
178499,Incident,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Outdated Data,Brazil.Pindamonhangaba,178499,0,Industrial Performance,Brasil,6,Lunes,<5
178499,Request,CONFAB.APPL INDUSTRIAL,2-Medium,2-Medium,Applications.Request for information,Brazil.Pindamonhangaba,178499,6,Industrial Performance,Brasil,7,Viernes,6-15
178499,Incident,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Outdated Data,Brazil.Pindamonhangaba,178499,8,Industrial Performance,Brasil,8,Jueves,6-15
28388,Request,CONFAB.APPL INDUSTRIAL,1-High,1-High,Applications.New Requirement,Brazil.Pindamonhangaba,28388,20,Industrial Performance,Brasil,9,Viernes,16<
178499,Incident,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Outdated Data,Brazil.Pindamonhangaba,178499,1,Industrial Performance,Brasil,10,Jueves,<5
40395,Request,CONFAB.APPL INDUSTRIAL,0-Critical,1-High,Applications.Process Request,Brazil.Pindamonhangaba,155474,23,Industrial Production,Brasil,11,Miércoles,16<
178499,Request,CONFAB.APPL INDUSTRIAL,3-Low,3-Low,Applications.Normal Error Handling,Brazil.Pindamonhangaba,178499,7,Industrial Performance,Brasil,12,Martes,6-15
178499,Incident,CONFAB.APPL INDUSTRIAL,2-Medium,2-Medium,Appls.Outdated Data,Brazil.Pindamonhangaba,178499,42,Industrial Performance,Brasil,13,Jueves,16<
56854,Request,RA IND EVOLUTIVE CA,2-Medium,2-Medium,Applications.Request for information,Canada.Sault St. Marie,93760,4,Industrial Performance,Canada,14,Jueves,<5
140435,Request,SCOS SAPS SUPPORT URUGUAY,2-Medium,2-Medium,Software.Business Integration.Other,Uruguay.Montevideo,174348,0,Business Control Panel,Uruguay,15,Martes,<5
140435,Request,SCOS SAPS SUPPORT URUGUAY,2-Medium,2-Medium,Applications.Data Quality.integration,UY.Montevideo.WTC.Office,11302,0,USD Metrics,Uruguay,16,Jueves,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data incident,Uruguay.Montevideo,188634,42,Supply Chain Inventories,Uruguay,17,Miércoles,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data incident,Uruguay.Montevideo,188634,8,Supply Chain Inventories,Uruguay,18,Miércoles,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Uruguay.Montevideo,188634,36,Supply Chain Inventories,Uruguay,19,Lunes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Uruguay.Montevideo,188634,58,Supply Chain Inventories,Uruguay,20,Lunes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Applications.Others,Argentina.Campana,10032,0,Industrial Production,Argentina,21,Jueves,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Outdated Data,Uruguay.Montevideo,156195,6,Business Control Panel,Uruguay,22,Miércoles,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Outdated Data,Mexico.Veracruz,106189,8,Industrial Performance,México,23,Miércoles,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Others,Argentina.Sede,46318,0,USD Metrics,Argentina,24,Viernes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Others,Uruguay.Montevideo,148624,12,Business Control Panel,Uruguay,25,Miércoles,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Business Rule Modification,Argentina.Campana,11261,68,Industrial Maintenance,Argentina,26,Miércoles,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Business Rule Modification,Argentina.Campana,11261,104,Industrial Maintenance,Argentina,27,Jueves,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Business Rule Modification,Argentina.Campana,11261,104,Industrial Maintenance,Argentina,28,Jueves,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Business Rule Modification,Argentina.Campana,11261,104,Industrial Maintenance,Argentina,29,Jueves,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Business Rule Modification,Argentina.Campana,11261,104,Industrial Maintenance,Argentina,30,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Behaviour.Failure,Brazil.Pindamonhangaba,157852,11,Industrial Production,Brasil,31,Jueves,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Brazil.Pindamonhangaba,35672,8,Industrial Performance,Brasil,32,Jueves,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Outdated Data,Canada.Toronto,104853,1,USD Metrics,Canada,33,Miércoles,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Others,Argentina.Sede,153034,8,Human Resources KPIs,Argentina,34,Martes,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Erroneous behaviour,Romania.Zalau,127473,79,Business Control Panel,Rumania,35,Lunes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,United States.Hickman,47345,4,Industrial Performance,United States,36,Lunes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Access & Privileges,Colombia.Cartagena,137237,31,Business Control Panel,Colombia,37,Martes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Request for Information,Italy.DALMINE,72380,17,Supply Chain Inventories,Italia,38,Lunes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Request for Information,Italy.DALMINE Sede,56942,1,Industrial Production,Italia,39,Miércoles,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Request for Information,Mexico.Veracruz,141276,51,Industrial Performance,México,40,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Mexico.Veracruz,61119,3,Industrial Performance,México,41,Lunes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Mexico.Veracruz,61119,3,Industrial Performance,México,42,Lunes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Request for Information,Brazil.Pindamonhangaba,178499,98,Supply Chain Inventories,Brasil,43,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Erroneous behaviour,Uruguay.Montevideo,107332,30,Industrial Production,Uruguay,44,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Canada.Sault St. Marie,93760,98,Industrial Performance,Canada,45,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Canada.Sault St. Marie,93760,98,Industrial Performance,Canada,46,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Uruguay.Montevideo,27145,122,Business Control Panel,Uruguay,47,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Argentina.Sede,150465,65,Invoicing and Costs,Argentina,48,Lunes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Process Request,Mexico.Veracruz,100807,0,Industrial Performance,México,49,Viernes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Process Request,Mexico.Veracruz,100807,0,Industrial Performance,México,50,Viernes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Argentina.Sede,157879,91,Business Control Panel,Argentina,51,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Data incident,Uruguay.Montevideo,148776,32,Supply Chain Inventories,Uruguay,52,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Erroneous behaviour,Saudi Arabia.DAMMAM,46264,1,Industrial Production,Arabia Saudita,53,Lunes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Mexico.Veracruz,169201,8,Industrial Production,México,54,Miércoles,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Erroneous behaviour,Uruguay.Montevideo,107332,1,Industrial Production,Uruguay,55,Lunes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Uruguay.Montevideo,67278,64,Supply Chain Inventories,Uruguay,56,Martes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Access & Privileges,Uruguay.Montevideo,152247,2,Supply Chain Inventories,Uruguay,57,Lunes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Create/Delete/Modify Data,Argentina.Sede,157879,13,Human Resources KPIs,Argentina,58,Miércoles,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Create/Delete/Modify Data,Argentina.Sede,157879,13,Human Resources KPIs,Argentina,59,Miércoles,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Canada.Sault St. Marie,93760,2,Industrial Performance,Canada,60,Lunes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Erroneous behaviour,Argentina.Campana,11261,8,Industrial Performance,Argentina,61,Martes,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Outdated Data,Mexico.Veracruz,174000,0,Industrial Performance,México,62,Viernes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Italy.DALMINE,11915,9,Industrial Performance,Italia,63,Martes,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Romania.Zalau,138167,46,Industrial Performance,Rumania,64,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,China.Baotou,176442,33,Industrial Performance,China,65,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Argentina.Campana,79312,104,Industrial Engineering,Argentina,66,Miércoles,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Performance,Mexico.Veracruz,148054,22,Industrial Performance,México,67,Jueves,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Access & Privileges,Uruguay.Montevideo,88003,6,Industrial Production,Uruguay,68,Miércoles,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Access & Privileges,Uruguay.Montevideo,88003,6,Industrial Production,Uruguay,69,Miércoles,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data.Failure,Uruguay.Montevideo,188634,17,Supply Chain Inventories,Uruguay,70,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Uruguay.Montevideo,186941,6,USD Metrics,Uruguay,71,Jueves,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data incident,Canada.Sault St. Marie,93760,30,Industrial Performance,Canada,72,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Colombia.Cartagena,179310,24,Industrial Performance,Colombia,73,Lunes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Italy.DALMINE,24611,33,Industrial Performance,Italia,74,Miércoles,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Business Rule Modification,Brazil.Pindamonhangaba,57897,19,Human Resources KPIs,Brasil,75,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Behaviour.Failure,Colombia.Cartagena,37451,6,Industrial Performance,Colombia,76,Viernes,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Access & Privileges,Mexico.Veracruz,143285,5,Industrial Production,México,77,Viernes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Others,Italy.DALMINE Sede,31523,83,Industrial Performance,Italia,78,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Outdated Data,Saudi Arabia.DAMMAM,182019,22,Industrial Performance,Arabia Saudita,79,Domingo,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data incident,Uruguay.Montevideo,188634,51,Supply Chain Inventories,Uruguay,80,Miércoles,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Process Request,Saudi Arabia.DAMMAM,182019,11,Industrial Performance,Arabia Saudita,81,Jueves,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Process Request,Saudi Arabia.DAMMAM,182019,11,Industrial Performance,Arabia Saudita,82,Jueves,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Failure,Colombia.Bogotá,49930,10,Business Control Panel,Colombia,83,Lunes,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Uruguay.Montevideo,103591,18,Supply Chain Inventories,Uruguay,84,Lunes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Argentina.Campana,171263,41,Industrial Performance,Argentina,85,Viernes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Request for Information,Italy.DALMINE Sede,38388,4,Industrial Production,Italia,86,Viernes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Uruguay.Montevideo,103591,5,Supply Chain Inventories,Uruguay,87,Viernes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Outdated Data,Mexico.Veracruz,106189,24,Industrial Performance,México,88,Martes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Access & Privileges,Mexico.Cd. de México,145005,4,Supply Chain Inventories,México,89,Jueves,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Uruguay.Montevideo,181536,37,Supply Chain Inventories,Uruguay,90,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Erroneous behaviour,Uruguay.Montevideo,27145,53,Business Control Panel,Uruguay,91,Jueves,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Data incident,Argentina.Sede,109229,28,Supply Chain Inventories,Argentina,92,Miércoles,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Process Request,Brazil.Pindamonhangaba,57897,21,Human Resources KPIs,Brasil,93,Lunes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Uruguay.Montevideo,156195,22,Global Planning Layer,Uruguay,94,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data incident,Saudi Arabia.DAMMAM,124305,50,Industrial Production,Arabia Saudita,95,Domingo,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Data incident,Argentina.Campana,177042,93,Industrial Performance,Argentina,96,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Argentina.Campana,177042,35,Industrial Performance,Argentina,97,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Data incident,Argentina.Campana,177042,52,Industrial Performance,Argentina,98,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Erroneous behaviour,Uruguay.Montevideo,27145,41,Business Control Panel,Uruguay,99,Viernes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Applications.Outdated Data,Saudi Arabia.DAMMAM,124305,17,Industrial Production,Arabia Saudita,100,Domingo,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,United States.Bay City,136404,30,Supply Chain Inventories,United States,101,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Mexico.Veracruz,141276,51,Industrial Production,México,102,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Request for information,Mexico.Veracruz,36603,8,Industrial Production,México,103,Miércoles,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Appls.Report Publish & Certificate,Mexico.Veracruz,177538,20,Industrial Maintenance,México,104,Martes,16<
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Argentina.Sede,153034,13,Human Resources KPIs,Argentina,105,Martes,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,3-Low,3-Low,Applications.Request for information,Argentina.Campana,101884,3,Industrial Performance,Argentina,106,Martes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Process Request,Mexico.Veracruz,100807,1,Industrial Performance,México,107,Martes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Data incident,Mexico.Ver. D.Varillas,5360,16,Industrial Performance,México,108,Martes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Process Request,Mexico.Veracruz,100807,6,Industrial Performance,México,109,Viernes,6-15
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Erroneous behaviour,Argentina.Sede,157879,0,Human Resources KPIs,Argentina,110,Miércoles,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Erroneous behaviour,Argentina.Sede,157879,0,Human Resources KPIs,Argentina,111,Miércoles,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Erroneous behaviour,Argentina.Campana,153494,55,Industrial Production,Argentina,112,Jueves,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Access & Privileges,Argentina.Sede,173339,0,Industrial Engineering,Argentina,113,Martes,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Access & Privileges,Argentina.Sede,173339,0,Industrial Engineering,Argentina,114,Martes,<5
106026,Incident,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Outdated Data,Romania.Calarasi,180685,10,Industrial Performance,Rumania,115,Lunes,6-15
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Access & Privileges,Uruguay.Montevideo,181538,99,Supply Chain Inventories,Uruguay,116,Lunes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Others,Argentina.Campana,11261,126,Industrial Maintenance,Argentina,117,Lunes,16<
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Appls.Access & Privileges,Italy.DALMINE Sede,56881,2,Business Control Panel,Italia,118,Miércoles,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,1-High,2-Medium,Applications.Request for information,United States.Koppel,36539,1,Industrial Performance,United States,119,Jueves,<5
106026,Request,SERVICES SYSTEM ACCOUNTS,2-Medium,2-Medium,Appls.Others,Argentina.Campana,11261,37,Industrial Maintenance,Argentina,120,Sábado,16<
